Sample ID	../MWA/H_ERR1398076/kraken/ERR1398076_kraken.out	../MWA/H_ERR1398077/kraken/ERR1398077_kraken.out	../MWA/H_ERR1398085/kraken/ERR1398085_kraken.out	../MWA/H_ERR1398168/kraken/ERR1398168_kraken.out	../MWA/H_ERR1398068/kraken/ERR1398068_kraken.out	../MWA/H_ERR1398221/kraken/ERR1398221_kraken.out	../MWA/NH_ERR1398129/kraken/ERR1398129_kraken.out	../MWA/NH_ERR1398206/kraken/ERR1398206_kraken.out	../MWA/NH_ERR1398263/kraken/ERR1398263_kraken.out	../MWA/NH_ERR1398078/kraken/ERR1398078_kraken.out	../MWA/NH_ERR1398257/kraken/ERR1398257_kraken.out	../MWA/NH_ERR1398089/kraken/ERR1398089_kraken.out
d__Bacteria|p__Chloroflexi|c__Anaerolineae	6	4	1	11	11	10	3	7	6	2	0	2
d__Bacteria|p__Chloroflexi|c__Dehalococcoidia	5	2	0	8	8	4	2	1	3	1	0	0
d__Bacteria|p__Chloroflexi|c__Caldilineae	1	0	0	0	0	1	0	1	0	0	0	0
d__Bacteria|p__Chloroflexi|c__Ardenticatenia	3	1	1	5	5	1	1	3	3	1	1	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria	2849	3021	992	2746	2746	601	124	3112	335	3621	554	2717
d__Bacteria|p__Actinobacteria|c__Acidimicrobiia	2	1	0	1	1	0	1	1	1	0	0	0
d__Bacteria|p__Actinobacteria|c__Rubrobacteria	9	5	0	3	3	4	0	4	0	6	1	4
d__Bacteria|p__Actinobacteria|c__Coriobacteriia	3171	750	21	179	179	201	1853	1262	279	197	132	201
d__Bacteria|p__Actinobacteria|c__Thermoleophilia	2	1	0	3	3	4	1	2	1	1	0	0
d__Bacteria|p__Tenericutes|c__Mollicutes	1	1	7	6	6	12	1	4	8	1	8	3
d__Bacteria|p__Cyanobacteria|c__Gloeobacteria	1	3	1	0	0	5	0	3	1	2	1	3
d__Bacteria|p__Calditrichaeota|c__Calditrichae	1	0	0	0	0	1	0	0	0	0	0	0
